煤田,矿区,采厚,面长,走向长,推进速度,开采方式,硬岩比,覆岩类型,抗压强度,采深,煤倾,导高
18,36,3,137,-0.047626868,-0.038961039,7,0.75,0.4,15,168,6,27.8
18,39,2,85,-0.047626868,-0.038961039,5,0.24,0.4,21.32,230,37,52.5
18,36,1.7,65,-0.047626868,-0.038961039,7,0.5,0.4,90,320,6,27.5
18,1,4.7,200,-0.047626868,-0.038961039,7,0.4,0.6,35,325,17,58
18,1,1.8,245,0.190343242,0.168831169,7,0.42,0.6,67.5,350,16,46.5
18,1,2.5,75,0.045984562,-0.038961039,7,0.67,0.6,35,428,16,48.7
18,9,3.5,130,-0.047626868,-0.038961039,7,0.5,0.4,10,284,7,26
18,9,4.5,350,-0.047626868,-0.038961039,7,0.11,0.4,11.7,276,7,67.2
18,9,7,130,-0.047626868,-0.038961039,6,0.31,0.6,35,284,4,66
18,12,1.9,165,-0.047626868,-0.038961039,7,0.22,0.6,35,316,12,26.09
18,12,3.8,114,-0.047626868,-0.038961039,7,0.21,0.6,35,343,13,28.46
18,12,13.43,130,-0.047626868,-0.038961039,6,0.23,0.6,35,494,15,93.18
21,42,1.8,73,-0.047626868,-0.038961039,5,0.49,0.6,35,93,62,16.6
5,21,2.03,69,0.014780752,-0.038961039,7,0.56,0.8,114.4,89,7,45.86
9,14,3,186,-0.047626868,-0.038961039,7,0.23,0.4,15,649.1,10,42.99
3,3,4.8,175,-0.047626868,0.33961039,6,0.36,0.6,35,485,6,62.5
3,3,5.3,175,-0.047626868,-0.038961039,6,0.99,0.6,35,542,15,67.5
3,3,5.28,175,-0.047626868,-0.038961039,6,0.71,0.6,35,542,7,49.25
3,3,4.6,170,-0.047626868,-0.038961039,6,0.5,0.6,35,86.1,6,53.9
3,3,5.8,125,-0.047626868,-0.038961039,6,0.99,0.8,60,368,6,70.7
3,3,5,122,-0.047626868,0.233116883,6,0.81,0.8,60,320,6,67.7
3,3,6.4,193,0.375102644,-0.038961039,6,0.5,0.6,70,414,9,72.9
3,3,2.5,192,-0.047626868,0.214285714,6,0.56,0.6,35,265,6,40.21
3,3,2.7,192,-0.047626868,0.446103896,6,0.56,0.6,35,265,6,42.81
3,3,2.6,185,-0.047626868,0.123376623,6,0.64,0.6,35,295,6,40.5
3,3,2.6,168,-0.047626868,0.144805195,6,0.99,0.6,35,290,6,46.22
3,3,2.6,168,-0.047626868,0.285714286,6,0.37,0.6,35,290,6,38.41
3,3,2.6,168,-0.047626868,0.29025974,6,0.18,0.6,35,290,6,39.14
3,3,8.7,170,-0.047626868,-0.038961039,6,0.668,0.6,70,278,8,66.5
3,3,5.7,178,-0.047626868,-0.038961039,6,0.63,0.6,35,283.9,6,51.4
3,3,5.3,145.7,-0.047626868,0.207792208,6,0.63,0.6,35,312,6,44.21
3,3,2.8,156,-0.047626868,0.027922078,6,0.93,0.6,35,264.5,6,44.34
3,3,2.6,147,-0.047626868,0.168831169,6,0.6,0.6,35,265,6,43.43
3,3,2.8,149,-0.047626868,0.06038961,6,0.26,0.6,35,264.5,6,40.35
3,3,2.8,156,-0.047626868,0.12987013,6,0.68,0.6,70,269,6,50.34
3,3,5.6,160,-0.047626868,-0.038961039,6,0.68,0.6,70,325,5,51.5
3,3,7.4,160,-0.047626868,0.06038961,6,0.55,0.6,35,331,6,64.25
3,3,8,170,-0.047626868,-0.038961039,6,0.5,0.6,45,450,8,86.8
3,3,5.6,160,-0.047626868,-0.038961039,6,0.6,0.6,35,325,5,51.5
3,3,7.1,160,-0.047626868,0.105844156,6,0.5,0.6,35,412,10,72.97
3,3,5,122,-0.047626868,0.233116883,6,0.68,0.6,35,320,7,67.7
3,3,8.7,153,0.1600427,0.212987013,6,0.99,0.8,60,435,8,71
3,3,8.7,198,-0.047626868,-0.038961039,6,0.5,0.4,15,409,6,83
3,3,7.5,173.5,-0.047626868,0.253246753,6,0.47,0.6,35,367,7,75.5
3,3,7.53,170,-0.047626868,0.209090909,6,0.38,0.6,35,357,7,61.9
3,3,8.61,169,-0.047626868,0.209090909,6,0.46,0.6,35,357,7,65.5
3,3,7.52,190,-0.047626868,0.271428571,6,0.41,0.6,35,367,7,61.77
3,3,8.5,80,-0.047626868,-0.038961039,1,0.44,0.6,35,417,4,68
3,3,1.6,180,-0.047626868,-0.038961039,5,0.24,0.4,15,285,6,30.8
3,3,8,120,-0.047626868,-0.038961039,6,0.71,0.6,60,272,12,62
3,3,8,150,-0.047626868,-0.038961039,6,0.71,0.8,60,272,12,78.1
3,3,6.4,150,-0.047626868,-0.038961039,6,0.57,0.6,35,280,12,62
3,3,3,203,0.307439645,-0.038961039,7,0.3,0.8,60,616,60,35
3,3,9,220,-0.047626868,0.285714286,7,0.51,0.6,35,541,41,76.37
3,3,8.8,143,-0.047626868,-0.038961039,2,0.23,0.4,15,262.8,3,39
17,28,2.94,180,-0.047626868,0.232467532,6,0.85,0.6,35,568.4,11,57
17,28,2.95,206,-0.047626868,0.119480519,6,0.74,0.6,35,516,11,54.5
17,28,6.1,170,-0.047626868,0.136363636,6,0.37,0.6,35,475,4,64.6
17,29,2.5,135,0.09361143,-0.038961039,6,0.75,0.8,32,350,5,39.4
17,29,5.3,99.5,-0.047626868,-0.038961039,2,0.73,0.6,32,350,6,41.51
17,29,4.1,95,-0.047626868,-0.038961039,6,0.25,0.6,35,965,5,50.9
17,29,10.8,65,0.143865988,0.590909091,6,0.23,0.6,35,935.4,3,45.5
23,32,5,222,0.156019051,-0.038961039,6,0.42,0.6,70,524.6,7,55
23,32,3.8,168,-0.047626868,-0.038961039,6,0.65,0.6,35,270,5,54.6
23,32,4.6,170,0.001642306,0.155844156,6,0.5,0.6,35,243,5,53.9
23,32,5,175,-0.047626868,-0.038961039,7,0.46,0.6,35,260,5.2,48.15
23,32,4.9,180,0.018065364,-0.038961039,7,0.43,0.6,35,278,4,52.8
1,6,5.3,180,-0.047626868,-0.038961039,7,0.6,0.6,58,53,25,61
17,30,4.75,180,-0.047626868,-0.038961039,7,0.67,0.6,63.7,197,4,56
17,30,3.05,180,-0.047626868,-0.038961039,7,0.36,0.6,35,200,3,43.8
25,23,7.3,184,0.095335852,-0.038961039,7,0.21,0.6,35,665,19,32
25,23,7.5,222,-0.047626868,-0.038961039,7,0.19,0.6,35,665,18,53.7
25,23,3,160,0.081951059,-0.038961039,7,0.22,0.6,35,871,29,37.67
13,18,6.5,150,0.297257349,-0.038961039,6,0.42,0.6,35,1065,32,75.6
23,32,6.3,136,-0.047626868,-0.038961039,7,0.71,0.6,40,130,4,52.5
23,32,1.71,194,0.021842667,-0.038961039,7,0.65,0.4,15,136,4.5,20.65
23,32,1.67,225,0.037444572,-0.038961039,7,0.64,0.4,15,144,4.5,13.93
23,32,2.2,220,-0.047626868,-0.038961039,7,0.5,0.4,15,150,4.5,36
23,32,4,220,-0.047626868,-0.038961039,6,0.28,0.6,40,139,5,31
23,32,1.8,200,-0.047626868,-0.038961039,7,0.26,0.4,15,146,5,15
22,31,1.2,225,0.174084415,-0.038961039,5,0.66,0.6,35,120,6.8,31
34,51,4,136,0.08211529,0.220779221,7,0.21,0.4,15,350,7,35.5
34,51,3.6,150,0.154048284,0.285714286,7,0.25,0.4,15,359,7.5,30.2
34,51,4.1,150,0.05091148,0.285714286,7,0.25,0.4,15,330,7,38.8
